2016-09-14 12:06:54,222 | INFO  | Transport failed: java.net.SocketException: Connection reset by peer: socket write error | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2016-09-14 12:06:54,249 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40602
2016-09-14 12:06:54,249 | INFO  | Transport failed: java.net.SocketException: Connection reset by peer: socket write error | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2016-09-14 12:06:54,264 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40603
2016-09-14 12:06:54,264 | INFO  | Transport failed: java.net.SocketException: Connection reset by peer: socket write error | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2016-09-14 12:06:54,281 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40604
2016-09-14 12:06:54,297 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40605
2016-09-14 12:06:54,313 | INFO  | Transport failed: java.net.SocketException: Connection reset by peer: socket write error | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2016-09-14 12:06:54,329 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40607
2016-09-14 12:06:54,329 | INFO  | Transport failed: java.net.SocketException: Connection reset by peer: socket write error | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2016-09-14 12:06:54,345 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40608
2016-09-14 12:06:54,361 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40609
2016-09-14 12:06:54,362 | INFO  | Transport failed: java.net.SocketException: Connection reset by peer: socket write error | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2016-09-14 12:06:54,377 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40610
2016-09-14 12:06:54,395 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40611
2016-09-14 12:06:54,395 | INFO  | Transport failed: java.net.SocketException: Connection reset by peer: socket write error | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2016-09-14 12:06:54,427 | INFO  | Transport failed: java.net.SocketException: Software caused connection abort: recv failed | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40613
2016-09-14 12:06:54,427 | INFO  | Transport failed: java.net.SocketException: Software caused connection abort: socket write error | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2016-09-14 12:06:54,476 | INFO  | Transport failed: java.net.SocketException: Software caused connection abort: recv failed | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40616
2016-09-14 12:06:54,492 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40617
